一	8893401
乙	32490
丁	8128
七	294906
乂	25
乃	48793
乜	48
九	169829
了	5133099
二	824949
人	4669155
儿	4024
入	121864
八	300668
几	550862
刀	71014
刁	1440
力	57585
匕	100
十	374870
卜	3339
厂	104978
又	1297338
万	173721
丈	3294
三	1543642
上	3204801
下	1442018
个	4321551
丫	240
丸	3658
义	10993
久	174118
么	2313
乞	1089
也	5906814
习	6782
亍	45
于	1270607
亏	13701
亡	5681
亿	14514
兀	179
凡	43027
刃	1969
勺	1448
千	177359
卫	873
叉	4658
口	271171
土	49356
士	4879
夕	10539
大	2593073
女	352525
子	40645
孑	45
孓	19
寸	56217
小	1142747
尢	155
尸	19167
山	157697
川	7708
工	10907
己	13901
已	2012562
巳	595
巾	1370
干	62562
乡	121301
幺	4
广	42372
弋	66
弓	9989
彳	32
才	1595591
门	130195
飞	72710
马	192208
不	6183392
与	4759623
丏	20
丐	201
丑	10439
专	30868
中	2894515
丰	11698
丹	4890
为	3735589
之	2016203
乌	3979
尹	1776
书	333604
予	36003
云	49222
互	11501
亓	1923
五	605927
井	19780
亢	219
什	392
仁	4879
仂	1
仃	6
仄	244
仅	357779
仆	1027
仇	8115
仉	4
今	177678
介	2029
仍	913900
从	1576188
仑	1877
仓	6064
允	2950
元	2730291
內	0
公	28221
六	410909
兮	2222
内	1419503
冇	0
冈	320
冗	95
凤	14358
凶	18251
𠙶	0
分	681541
切	20583
刈	1298
劝	26838
办	136831
勻	0
勾	4353
勿	32295
匀	565
化	10187
匹	12554
区	128169
卅	73380
升	38000
午	6194
卞	308
卬	21
厄	153
厅	8029
历	3544
及	3014904
友	22421
双	103994
反	148785
壬	319
天	1367459
太	483858
夫	15622
夬	5
夭	227
孔	12824
少	216655
尤	18735
尺	24495
屯	655
巴	5616
币	852
幻	2102
廿	99839
开	307744
弔	0
引	24633
心	305367
忆	3158
戈	2283
戶	0
户	163684
手	318355
扎	4605
支	191815
文	69486
斗	15710
斤	34824
方	105624
无	655103
日	1191965
曰	16720
月	1803468
木	29663
𣎴	400
欠	26656
止	88035
歹	695
殳	11
毋	3950
毌	8
比	654796
毛	57194
氏	671
气	97558
水	431930
火	63361
爪	4939
父	32001
爻	256
爿	173
片	232257
牙	19051
牛	81251
犬	28881
王	108193
见	403641
计	52864
订	72514
讣	24
认	18789
讥	2106
贝	1622
车	464850
闩	163
韦	2346
风	80805
且	527757
丕	675
世	19787
丘	5808
丙	11854
业	19111
丛	2822
东	85124
丝	32875
主	15674
丼	721
乍	5974
乎	6896
乏	24143
乐	58550
仔	3701
仕	2385
他	5563637
仗	8602
付	48209
仙	9277
仝	79
仞	229
仟	757
仡	0
代	159923
令	364069
以	3066398
仨	191
仪	199
仫	0
们	467898
兄	8015
充	3669
兰	3280
冉	206
冊	0
册	26400
写	212028
冬	54408
冮	0
冯	6494
凸	4441
凹	2102
出	253587
击	12663
刊	19652
刍	134
功	17970
加	119916
务	2347
劢	31
包	117205
匆	35
北	135245
匜	6
匝	478
卉	565
半	468492
卟	0
占	171463
卡	72220
卢	9007
卮	14
卯	674
厉	1238
去	699433
发	121655
古	71210
句	120101
另	601609
叨	412
叩	3133
只	1658814
叫	173419
召	4022
叭	741
叮	2624
可	1895027
台	779500
叱	546
史	19833
右	78247
叵	355
