#==================================
# 威注音字词频格式，全文除了汉字与注音以外必须是半角英文数字。
# -------------------
# 格式顺序是：汉字或字词＆频次。编码统一使用 UTF8 万国码。
# 每一行的每一项之间必须用单个 TAB 制表符号来隔开，行尾不要留空格。
# 每一条词项在所有 freq 开头的档案内只能出现一次，否则可能会造成词频失调。
# 注释必须在单独的行内、且由西文井号字符开行头。
# ------------------
# 「BPMFBase-chs」内的字所对应的「国教院」词频数据。
# 单个汉字的字频数据分布太陡峭、会与词抢词频，所以都做了对数处理。
# 处理公式：处理后的单个汉字的词频=LOG((处理前的单个汉字的词频+1)*1.2)*1000
# =================================

伝	0
伞	4158
伟	204
传	5015
伢	8
伣	0
伤	4852
伥	187
伦	341
伧	25
伪	4123
伫	285
佤	39
兆	993
兇	0
先	5811
光	5246
全	6260
共	5713
关	4862
兴	4027
再	7138
军	4683
农	4773
冰	4691
冱	2
冲	4748
决	4125
凫	70
凼	0
刎	54
刑	4304
划	3698
刖	17
列	4640
刘	4800
则	6188
刚	5370
创	5041
劣	2027
动	5001
匈	381
匠	559
匡	637
华	4176
协	446
印	4429
危	3770
压	4591
厌	2009
厍	3
厾	0
吁	3720
吃	5771
各	6273
吆	50
合	4543
吉	3477
吊	4222
吋	0
同	5659
名	6261
后	6588
吏	479
吐	4472
向	6127
吒	29
吓	4710
吕	4378
吖	7
吗	5560
囝	231
回	5492
囟	24
因	6200
囡	81
团	4875
在	7138
圩	59
圪	2
圫	0
圬	5
圭	240
圮	21
圯	35
地	6182
圲	0
圳	3062
圹	60
场	5868
壮	4090
夙	419
多	6372
夷	1001
夸	3952
夹	4485
夺	4482
夼	0
奸	2427
她	6497
奼	0
好	6169
妁	9
如	5834
妃	3767
妄	481
妆	4272
妇	4388
妈	4878
孖	13
字	5235
存	4529
孙	4285
宅	4304
宇	365
守	4591
安	4520
寺	3936
寻	4681
导	3913
尖	4010
尘	3737
尥	0
尧	1106
尽	4892
屹	79
屺	4
屼	0
屾	0
屿	246
岁	6135
岂	3816
州	4175
巩	378
帆	3727
师	4440
年	6597
并	6465
