一	8893401
乙	32490
丁	8128
七	294906
乂	25
乃	48793
乜	48
九	169829
了	5132927
二	824949
人	4669155
儿	0
入	121864
八	300668
几	473
刀	71014
刁	1440
力	57585
匕	100
十	374870
卜	3298
厂	22
又	1297338
万	58
丈	3294
三	1543642
上	3204801
下	1442018
个	0
丫	240
丸	3658
义	0
久	174118
么	179
乞	1089
也	5906814
习	0
亍	45
于	15423
亏	0
亡	5681
亿	0
兀	179
凡	43027
刃	1969
勺	1448
千	177353
卫	0
叉	4658
口	271171
土	49356
士	4879
夕	10539
大	2593073
女	352525
子	40645
孑	45
孓	19
寸	9594
小	1142747
尢	155
尸	62
山	157697
川	7708
工	10907
己	13901
已	2012562
巳	595
巾	1370
干	1993
乡	0
幺	4
广	0
弋	66
弓	9989
彳	32
才	1595363
门	0
飞	0
马	0
不	6183392
与	0
丏	20
丐	201
丑	1215
专	0
中	2894515
丰	345
丹	4890
为	0
之	2016203
乌	0
尹	1776
书	0
予	36003
云	5031
互	11501
亓	1923
五	605927
井	19780
亢	219
什	392
仁	4879
仂	1
仃	6
仄	244
仅	0
仆	557
仇	8056
仉	4
今	177678
介	2029
仍	913900
从	0
仑	0
仓	0
允	2950
元	2730291
內	1419503
公	28221
六	410909
兮	2222
内	0
冇	140
冈	0
冗	95
凤	0
凶	8160
𠙶	0
分	681541
切	20583
刈	1298
劝	0
办	0
勻	565
勾	4353
勿	32295
匀	0
化	10187
匹	12418
区	0
卅	73380
升	38000
午	6194
卞	308
卬	21
厄	153
厅	0
历	0
及	3014904
友	22421
双	0
反	148785
壬	319
天	1367459
太	483858
夫	15552
夬	5
夭	227
孔	12824
少	216655
尤	18735
尺	15012
屯	655
巴	5616
币	0
幻	2102
廿	99839
开	0
弔	238
引	24633
心	305367
忆	0
戈	2283
戶	163684
户	0
手	318355
扎	2029
支	191815
文	69486
斗	4713
斤	34824
方	105624
无	0
日	1191965
曰	16720
月	1803468
木	29663
𣎴	400
欠	26656
止	88035
歹	695
殳	11
毋	3950
毌	8
比	654796
毛	57194
氏	671
气	0
水	431930
火	63361
爪	4939
父	32001
爻	256
爿	173
片	232257
牙	19051
牛	81251
犬	28881
王	108193
见	0
计	0
订	0
讣	0
认	0
讥	0
贝	0
车	0
闩	0
韦	0
风	0
且	527757
丕	675
世	19787
丘	5808
丙	11854
业	0
丛	0
东	0
丝	0
主	15674
丼	721
乍	5974
乎	6896
乏	24143
乐	0
仔	3701
仕	2385
他	5563541
仗	8602
付	48209
仙	9277
仝	79
仞	229
仟	757
仡	0
代	159923
令	364069
以	3066398
仨	191
仪	0
仫	0
们	0
兄	8015
充	3669
兰	0
冉	206
冊	26400
册	0
写	0
冬	54408
冮	0
冯	0
凸	4441
凹	2102
出	234268
击	0
刊	19652
刍	0
功	17970
加	119916
务	0
劢	0
包	117205
匆	35
北	135245
匜	6
匝	478
卉	565
半	468492
卟	0
占	103317
卡	72220
卢	0
卮	14
卯	674
厉	0
去	699433
发	0
古	71210
句	120101
另	601609
叨	412
叩	3133
只	1416544
叫	173419
召	4022
叭	741
叮	2624
可	1895027
台	766656
叱	546
史	19833
右	78247
叵	355
叶	5
号	0
司	2257
叹	0
叻	112
叼	1880
叽	0
囚	2094
四	748074
圢	0
圣	0
处	0
外	779989
央	756
