㋿ ㄌㄧㄥˋ-ㄏㄜˊ
㎜ ㄍㄨㄥ-ㄌㄧˊ
㎜ ㄏㄠˊ-ㄇㄧˇ
㎟ ㄆㄧㄥˊ-ㄈㄤ-ㄍㄨㄥ-ㄌㄧˊ
㎟ ㄆㄧㄥˊ-ㄈㄤ-ㄏㄠˊ-ㄇㄧˇ
㎣ ㄌㄧˋ-ㄈㄤ-ㄍㄨㄥ-ㄌㄧˊ
㎣ ㄌㄧˋ-ㄈㄤ-ㄏㄠˊ-ㄇㄧˇ
㏖ ㄇㄛˊ-ㄦˇ
㏖ ㄇㄛˋ-ㄦˇ
㎚ ㄋㄚˋ-ㄇㄧˇ
㎚ ㄋㄞˋ-ㄇㄧˇ
㏘ ㄒㄧㄚˋ-ㄨˇ
㏗ ㄙㄨㄢ-ㄐㄧㄢˇ-ㄉㄨˋ
㏗ ㄙㄨㄢ-ㄐㄧㄢˇ-ㄓˊ
℡ ㄉㄧㄢˋ-ㄏㄨㄚˋ
™ ㄕㄤ-ㄅㄧㄠ
㎍ ㄨㄟˊ-ㄎㄜˋ
㎕ ㄨㄟˊ-ㄕㄥ
㎛ ㄨㄟˊ-ㄇㄧˇ
 ㄆㄧㄥˊ-ㄍㄨㄛˇ
⚒ ㄍㄨㄥ-ㄐㄩˋ
⚠︎ ㄐㄧㄥˇ-ㄍㄠˋ
⚠︎ ㄐㄧㄥˇ-ㄕˋ
✔︎ ㄉㄚˇ-ㄍㄡ
✔︎ ㄉㄨㄟˋ-ㄍㄡ
✔︎ ㄉㄨㄟˋ-ㄏㄠˋ
✖︎ ㄏㄨㄚˋ-ㄔㄚ
✖︎ ㄘㄨㄛˋ-ㄏㄠˋ
✖︎ ㄘㄨㄛˋ-ㄔㄚ
❌ ㄏㄨㄚˋ-ㄔㄚ
❌ ㄘㄨㄛˋ-ㄏㄠˋ
❌ ㄘㄨㄛˋ-ㄔㄚ
#=========
#_原神
𒆙 ㄊㄧㄢ-ㄉㄨㄥˋ-ㄨㄢˋ-ㄒㄧㄤˋ
𒆙 ㄊㄧㄢ-ㄌㄧˇ-ㄔㄤˊ-ㄑㄩ
𒆙 ㄘˇ-ㄋㄞˇ-ㄊㄧㄢ-ㄉㄠˋ
#=========
#_數字符號
０ ㄌㄧㄥˊ
１ ㄧ
２ ㄦˋ
３ ㄙㄢ
４ ㄙˋ
５ ㄨˇ
６ ㄌㄧㄡˋ
７ ㄑㄧ
８ ㄅㄚ
９ ㄐㄧㄡˇ
⒈ ㄧ
⒉ ㄦˋ
⒊ ㄙㄢ
⒋ ㄙˋ
⒌ ㄨˇ
⒍ ㄌㄧㄡˋ
⒎ ㄑㄧ
⒏ ㄅㄚ
⒐ ㄐㄧㄡˇ
⒑ ㄕˊ
⒒ ㄕˊ-ㄧ
⒓ ㄕˊ-ㄦˋ
⒔ ㄕˊ-ㄙㄢ
⒕ ㄕˊ-ㄙˋ
⒖ ㄕˊ-ㄨˇ
⒗ ㄕˊ-ㄌㄧㄡˋ
⒘ ㄕˊ-ㄑㄧ
⒙ ㄕˊ-ㄅㄚ
⒚ ㄕˊ-ㄐㄧㄡˇ
⒛ ㄦˋ-ㄕˊ
🄁 ㄌㄧㄥˊ
🄂 ㄧ
🄃 ㄦˋ
🄄 ㄙㄢ
🄅 ㄙˋ
