㋿ ㄌㄧㄥˋ-ㄏㄜˊ
🍔 ㄏㄢˋ-ㄅㄠˇ
🍕 ㄅㄧˇ-ㄙㄚˋ
🍕 ㄆㄧ-ㄙㄚˋ
🍙 ㄈㄢˋ-ㄊㄨㄢˊ
🍚 ㄈㄢˋ
🍛 ㄍㄚ-ㄌㄧ-ㄈㄢˋ
🍛 ㄍㄚ-ㄌㄧ˙-ㄈㄢˋ
🍛 ㄍㄚ-ㄌㄧˇ-ㄈㄢˋ
🍜 ㄌㄚ-ㄇㄧㄢˋ
🍝 ㄆㄚˋ-ㄙ-ㄊㄚˇ
🍝 ㄧˋ-ㄇㄧㄢˋ
🍝 ㄧˋ-ㄉㄚˋ-ㄌㄧˋ-ㄇㄧㄢˋ
🍞 ㄇㄧㄢˋ-ㄅㄠ
🍟 ㄕㄨˇ-ㄊㄧㄠˊ
🍠 ㄎㄠˇ-ㄉㄧˋ-ㄍㄨㄚ
🍠 ㄎㄠˇ-ㄏㄨㄥˊ-ㄕㄨˇ
🍢 ㄍㄨㄢ-ㄉㄨㄥ-ㄓㄨˇ
🍢 ㄏㄟ-ㄌㄨㄣˊ
🍣 ㄕㄡˋ-ㄙ
🍤 ㄊㄧㄢ-ㄈㄨˋ-ㄌㄨㄛˊ
🍤 ㄓㄚˊ-ㄒㄧㄚ
🍤 ㄓㄚˋ-ㄒㄧㄚ
🍥 ㄩˊ-ㄅㄢˇ
🍦 ㄅㄧㄥ-ㄑㄧˊ-ㄌㄧㄣˊ
🍦 ㄊㄧㄢˊ-ㄊㄨㄥˇ
🍦 ㄕㄨㄤ-ㄑㄧˊ-ㄌㄧㄣˊ
🍧 ㄅㄠˋ-ㄅㄧㄥ
🍧 ㄘㄨㄛˋ-ㄅㄧㄥ
🍨 ㄅㄧㄥ-ㄑㄧˊ-ㄌㄧㄣˊ
🍨 ㄕㄨㄤ-ㄑㄧˊ-ㄌㄧㄣˊ
🍩 ㄊㄧㄢˊ-ㄊㄧㄢˊ-ㄑㄩㄢ
🍪 ㄅㄧㄥˇ-ㄍㄢ
🍫 ㄑㄧㄠˇ-ㄎㄜˋ-ㄌㄧˋ
🍬 ㄊㄤˊ-ㄍㄨㄛˇ
🍭 ㄅㄤˋ-ㄅㄤˋ-ㄊㄤˊ
🍭 ㄊㄤˊ-ㄍㄨㄛˇ
🍯 ㄈㄥ-ㄇㄧˋ
🍰 ㄉㄢˋ-ㄍㄠ
🍱 ㄅㄧㄢˋ-ㄉㄤ
🍱 ㄏㄜˊ-ㄈㄢˋ
🍳 ㄉㄢˋ
🍳 ㄐㄧㄢ-ㄉㄢˋ
🍴 ㄉㄠ-ㄔㄚ
🍴 ㄘㄢ-ㄐㄩˋ
🍵 ㄔㄚˊ-ㄅㄟ
🍶 ㄑㄧㄥ-ㄐㄧㄡˇ
🍷 ㄏㄨㄥˊ-ㄐㄧㄡˇ
🍸 ㄐㄧ-ㄨㄟˇ-ㄐㄧㄡˇ
🍹 ㄍㄨㄛˇ-ㄓ
🍺 ㄆㄧˊ-ㄐㄧㄡˇ
🍻 ㄆㄧˊ-ㄐㄧㄡˇ
🍼 ㄋㄞˇ-ㄆㄧㄥˊ
🍼 ㄋㄧㄡˊ-ㄋㄞˇ
🍿 ㄅㄠˋ-ㄇㄧˇ-ㄏㄨㄚ
🎂 ㄉㄢˋ-ㄍㄠ
🎂 ㄕㄥ-ㄖˋ-ㄉㄢˋ-ㄍㄠ
🎄 ㄕㄥˋ-ㄉㄢˋ-ㄕㄨˋ
🎄 ㄧㄝ-ㄉㄢˋ-ㄕㄨˋ
🎈 ㄑㄧˋ-ㄑㄧㄡˊ
🎋 ㄓㄨˊ
🎙 ㄇㄞˋ-ㄎㄜˋ-ㄈㄥ
🎙 ㄏㄨㄚˋ-ㄊㄨㄥˇ
🎞 ㄉㄧˇ-ㄆㄧㄢˋ
🎞 ㄐㄧㄠ-ㄐㄩㄢˇ
🎣 ㄉㄧㄠˋ-ㄩˊ
🎥 ㄌㄨˋ-ㄒㄧㄤˋ-ㄐㄧ
🎥 ㄌㄨˋ-ㄧㄥˇ-ㄐㄧ
🎱 ㄊㄞˊ-ㄑㄧㄡˊ
🎱 ㄓㄨㄛ-ㄑㄧㄡˊ
🎱 ㄓㄨㄤˋ-ㄑㄧㄡˊ
🎾 ㄨㄤˇ-ㄑㄧㄡˊ
🎿 ㄏㄨㄚˊ-ㄒㄩㄝˇ
🏀 ㄌㄢˊ-ㄑㄧㄡˊ
🏂 ㄏㄨㄚˊ-ㄒㄩㄝˇ
🏈 ㄍㄢˇ-ㄌㄢˇ-ㄑㄧㄡˊ
🏉 ㄍㄢˇ-ㄌㄢˇ-ㄑㄧㄡˊ
🏏 ㄅㄢˇ-ㄑㄧㄡˊ
🏐 ㄆㄞˊ-ㄑㄧㄡˊ
🏒 ㄅㄧㄥ-ㄑㄧㄡˊ
🏓 ㄆㄧㄥ-ㄆㄤ-ㄑㄧㄡˊ
🏸 ㄩˇ-ㄇㄠˊ-ㄑㄧㄡˊ
🏹 ㄍㄨㄥ-ㄐㄧㄢˋ
🏹 ㄕㄜˋ-ㄐㄧㄢˋ
🐀 ㄕㄨˇ
🐁 ㄕㄨˇ
🐂 ㄋㄧㄡˊ
🐃 ㄋㄧㄡˊ
🐃 ㄕㄨㄟˇ-ㄋㄧㄡˊ
🐄 ㄋㄞˇ-ㄋㄧㄡˊ
🐄 ㄋㄧㄡˊ
🐄 ㄖㄨˇ-ㄋㄧㄡˊ
🐅 ㄏㄨˇ
🐆 ㄅㄠˋ
🐇 ㄊㄨˋ
🐇 ㄊㄨˋ-ㄗ˙
🐈 ㄇㄠ
🐈‍⬛ ㄇㄠ
🐉 ㄌㄨㄥˊ
🐊 ㄜˋ-ㄩˊ
🐋 ㄐㄧㄥ-ㄩˊ
🐌 ㄍㄨㄚ-ㄋㄧㄡˊ
🐌 ㄨㄛ-ㄋㄧㄡˊ
🐌 ㄨㄛ-ㄌㄜ-ㄋㄧㄡˊ
🐍 ㄕㄜˊ
🐎 ㄇㄚˇ
🐏 ㄇㄧㄢˊ-ㄧㄤˊ
🐐 ㄕㄢ-ㄧㄤˊ
🐐 ㄧㄤˊ
🐑 ㄇㄧㄢˊ-ㄧㄤˊ
🐑 ㄧㄤˊ
🐒 ㄏㄡˊ
🐓 ㄍㄨㄥ-ㄐㄧ
🐓 ㄐㄧ
🐔 ㄐㄧ
🐕 ㄍㄡˇ
🐕‍🦺 ㄍㄡˇ
🐖 ㄓㄨ
🐗 ㄕㄢ-ㄓㄨ
🐗 ㄧㄝˇ-ㄓㄨ
🐘 ㄉㄚˋ-ㄒㄧㄤˋ
🐘 ㄒㄧㄤˋ
🐙 ㄓㄤ-ㄩˊ
🐛 ㄔㄨㄥˊ
🐜 ㄇㄚˇ-ㄧˇ
🐝 ㄇㄧˋ-ㄈㄥ
🐝 ㄈㄥ
🐞 ㄆㄧㄠˊ-ㄔㄨㄥˊ
🐞 ㄔㄨㄥˊ
🐟 ㄩˊ
🐠 ㄖㄜˋ-ㄉㄞˋ-ㄩˊ
🐠 ㄩˊ
🐡 ㄩˊ
🐢 ㄍㄨㄟ
🐢 ㄨ-ㄍㄨㄟ
🐣 ㄐㄧ
🐤 ㄐㄧ
🐥 ㄐㄧ
🐦 ㄋㄧㄠˇ
🐧 ㄑㄧˇ-ㄜˊ
🐧 ㄑㄧˋ-ㄜˊ
🐩 ㄊㄞˋ-ㄖ-ㄊㄧㄢ
🐩 ㄍㄡˇ
🐪 ㄌㄨㄛˋ-ㄊㄨㄛˊ
🐫 ㄌㄨㄛˋ-ㄊㄨㄛˊ
🐬 ㄏㄞˇ-ㄊㄨㄣˊ
🐭 ㄕㄨˇ
🐮 ㄋㄧㄡˊ
🐯 ㄏㄨˇ
🐰 ㄊㄨˋ
🐰 ㄊㄨˋ-ㄗ˙
🐱 ㄇㄠ
🐲 ㄌㄨㄥˊ
🐲 ㄌㄨㄥˊ-ㄊㄡˊ
🐳 ㄐㄧㄥ-ㄩˊ
🐴 ㄇㄚˇ
🐵 ㄏㄡˊ
🐶 ㄍㄡˇ
🐷 ㄓㄨ
🐸 ㄑㄧㄥ-ㄨㄚ
🐸 ㄨㄚ
🐹 ㄊㄧㄢ-ㄓㄨˊ-ㄕㄨˇ
🐹 ㄊㄨㄣˊ-ㄕㄨˇ
🐹 ㄎㄨㄟˊ-ㄕㄨˇ
🐹 ㄏㄜˊ-ㄌㄢˊ-ㄓㄨ
🐹 ㄘㄤ-ㄕㄨˇ
🐺 ㄌㄤˊ
🐻 ㄒㄩㄥˊ
🐻‍❄️ ㄒㄩㄥˊ
🐼 ㄇㄠ-ㄒㄩㄥˊ
🐼 ㄒㄩㄥˊ-ㄇㄠ
🐽 ㄓㄨ
🐿 ㄌㄧˋ-ㄕㄨˇ
🐿 ㄙㄨㄥ-ㄕㄨˇ
👆 ㄕㄤˋ
👇 ㄒㄧㄚˋ
👈 ㄗㄨㄛˇ
👉 ㄧㄡˋ
👌 ㄏㄠˇ
👍 ㄏㄠˇ
👗 ㄧㄤˊ-ㄓㄨㄤ
👘 ㄏㄜˊ-ㄈㄨˊ
💉 ㄉㄚˇ-ㄓㄣ
💉 ㄓㄣ-ㄊㄨㄥˇ
💉 ㄓㄨˋ-ㄕㄜˋ-ㄑㄧˋ
💊 ㄧㄠˋ
💎 ㄗㄨㄢˋ-ㄕˊ
💐 ㄏㄨㄚ
💡 ㄉㄧㄢˋ-ㄉㄥ
💣 ㄓㄚˋ-ㄉㄢˋ
💣 ㄓㄚˋ-ㄧㄠˋ
💦 ㄩˇ
💧 ㄩˇ
💫 ㄒㄧㄥ
💰 ㄑㄧㄢˊ
💳 ㄒㄧㄣˋ-ㄩㄥˋ-ㄎㄚˇ
💴 ㄑㄧㄢˊ
💴 ㄓˇ-ㄅㄧˋ
💴 ㄖˋ-ㄩㄢˊ
💵 ㄇㄟˇ-ㄩㄢˊ
💵 ㄑㄧㄢˊ
💵 ㄓˇ-ㄅㄧˋ
💶 ㄑㄧㄢˊ
💶 ㄓˇ-ㄅㄧˋ
💶 ㄡ-ㄩㄢˊ
💷 ㄑㄧㄢˊ
💷 ㄓˇ-ㄅㄧˋ
💷 ㄧㄥ-ㄅㄤˋ
💻 ㄅㄧˇ-ㄉㄧㄢˋ
💻 ㄉㄧㄢˋ-ㄋㄠˇ
💽 ㄍㄨㄤ-ㄆㄢˊ
💽 ㄍㄨㄤ-ㄉㄧㄝˊ
💾 ㄖㄨㄢˇ-ㄆㄢˊ
💾 ㄖㄨㄢˇ-ㄉㄧㄝˊ
💾 ㄘˊ-ㄆㄧㄢˋ
💾 ㄘˊ-ㄆㄢˊ
💿 ㄍㄨㄤ-ㄆㄢˊ
💿 ㄍㄨㄤ-ㄉㄧㄝˊ
📀 ㄍㄨㄤ-ㄆㄢˊ
📀 ㄍㄨㄤ-ㄉㄧㄝˊ
📁 ㄉㄤˇ-ㄢˋ-ㄐㄧㄚˊ
📁 ㄉㄤˋ-ㄢˋ-ㄐㄧㄚ
📁 ㄐㄩㄢˋ-ㄗㄨㄥ
📁 ㄗ-ㄌㄧㄠˋ-ㄐㄧㄚ
📁 ㄗ-ㄌㄧㄠˋ-ㄐㄧㄚˊ
📁 ㄨㄣˊ-ㄐㄧㄢˋ-ㄐㄧㄚ
📁 ㄨㄣˊ-ㄐㄧㄢˋ-ㄐㄧㄚˊ
📂 ㄉㄤˇ-ㄢˋ-ㄐㄧㄚˊ
📂 ㄉㄤˋ-ㄢˋ-ㄐㄧㄚ
📂 ㄐㄩㄢˋ-ㄗㄨㄥ
📂 ㄗ-ㄌㄧㄠˋ-ㄐㄧㄚ
📂 ㄗ-ㄌㄧㄠˋ-ㄐㄧㄚˊ
📂 ㄨㄣˊ-ㄐㄧㄢˋ-ㄐㄧㄚ
📂 ㄨㄣˊ-ㄐㄧㄢˋ-ㄐㄧㄚˊ
📅 ㄒㄧㄥˊ-ㄕˋ-ㄌㄧˋ
📅 ㄖˋ-ㄌㄧˋ
📅 ㄩㄝˋ-ㄌㄧˋ
📆 ㄒㄧㄥˊ-ㄕˋ-ㄌㄧˋ
📆 ㄖˋ-ㄌㄧˋ
📆 ㄩㄝˋ-ㄌㄧˋ
📌 ㄊㄨˊ-ㄉㄧㄥ
📍 ㄉㄚˋ-ㄊㄡˊ-ㄓㄣ
📎 ㄏㄨㄟˊ-ㄒㄧㄥˊ-ㄓㄣ
📎 ㄏㄨㄟˊ-ㄨㄣˊ-ㄓㄣ
📏 ㄔˇ
📏 ㄔˇ-ㄗ˙
📐 ㄙㄢ-ㄐㄧㄠˇ-ㄅㄢˇ
📐 ㄙㄢ-ㄐㄧㄠˇ-ㄔˇ
📒 ㄕㄨ
📓 ㄕㄨ
📔 ㄕㄨ
📕 ㄕㄨ
📖 ㄕㄨ
📗 ㄕㄨ
📘 ㄕㄨ
📙 ㄕㄨ
📚 ㄕㄨ
📞 ㄉㄧㄢˋ-ㄏㄨㄚˋ
📟 ㄏㄨ-ㄐㄧㄠˋ-ㄑㄧˋ
📟 ㄒㄩㄣˊ-ㄏㄨ-ㄐㄧ
📠 ㄔㄨㄢˊ-ㄓㄣ
📠 ㄔㄨㄢˊ-ㄓㄣ-ㄐㄧ
📱 ㄕㄡˇ-ㄐㄧ
📷 ㄒㄧㄤˋ-ㄐㄧ
📷 ㄓㄠˋ-ㄒㄧㄤˋ-ㄐㄧ
📸 ㄒㄧㄤˋ-ㄐㄧ
📸 ㄓㄠˋ-ㄒㄧㄤˋ-ㄐㄧ
📹 ㄌㄨˋ-ㄒㄧㄤˋ-ㄐㄧ
📹 ㄌㄨˋ-ㄧㄥˇ-ㄐㄧ
📺 ㄉㄧㄢˋ-ㄕˋ
📻 ㄕㄡ-ㄧㄣ-ㄐㄧ
📼 ㄌㄨˋ-ㄒㄧㄤˋ-ㄉㄞˋ
📼 ㄌㄨˋ-ㄧㄥˇ-ㄉㄞˋ
📽 ㄌㄨˋ-ㄒㄧㄤˋ-ㄐㄧ
📽 ㄌㄨˋ-ㄧㄥˇ-ㄐㄧ
🔋 ㄉㄧㄢˋ-ㄔˊ
🔌 ㄔㄚ-ㄊㄡˊ
🔑 ㄙㄨㄛˇ-ㄕ˙
🔑 ㄧㄠˋ-ㄕ˙
🔗 ㄎㄡˋ-ㄏㄨㄢˊ
🔗 ㄙㄨㄛˇ-ㄌㄧㄢˋ
🔗 ㄙㄨㄛˇ-ㄎㄡˋ
🔥 ㄏㄨㄛˇ
🔦 ㄕㄡˇ-ㄉㄧㄢˋ-ㄊㄨㄥˇ
🔧 ㄅㄢ-ㄕㄡˇ
🔨 ㄔㄨㄟˊ-ㄗ˙
🔩 ㄌㄨㄛˊ-ㄙˋ
🔪 ㄉㄠ
🔬 ㄒㄧㄢˇ-ㄨㄟˊ-ㄐㄧㄥˋ
🔭 ㄨㄤˋ-ㄩㄢˇ-ㄐㄧㄥˋ
🕊 ㄍㄜ
🕊 ㄍㄜ-ㄗ˙
🕊 ㄏㄜˊ-ㄆㄧㄥˊ-ㄍㄜ
🕊 ㄒㄧㄣˋ-ㄍㄜ
🕯 ㄌㄚˋ-ㄓㄨˊ
🕰 ㄕˊ-ㄓㄨㄥ
🕷 ㄓ-ㄓㄨ
🕷 ㄔㄨㄥˊ
🕸 ㄓ-ㄓㄨ-ㄨㄤˇ
🕹 ㄧㄠˊ-ㄍㄢˇ
🖇 ㄏㄨㄟˊ-ㄒㄧㄥˊ-ㄓㄣ
🖇 ㄏㄨㄟˊ-ㄨㄣˊ-ㄓㄣ
🖊 ㄅㄧˇ
🖋 ㄅㄧˇ
🖌 ㄅㄧˇ
🖍 ㄅㄧˇ
🖕 ㄍㄢˋ
🖥 ㄉㄧㄢˋ-ㄋㄠˇ
🖥 ㄓㄨㄛ-ㄐㄧ
🖨 ㄉㄚˇ-ㄧㄣˋ-ㄐㄧ
🖨 ㄧㄣˋ-ㄅㄧㄠˇ-ㄐㄧ
🖱 ㄏㄨㄚˊ-ㄕㄨˇ
🖱 ㄕㄨˇ-ㄅㄧㄠ
🗄 ㄉㄤˇ-ㄢˋ
🗄 ㄉㄤˋ-ㄢˋ
🗑 ㄈㄟˋ-ㄓˇ-ㄌㄡˇ
🗑 ㄈㄟˋ-ㄨˋ-ㄊㄨㄥˇ
🗑 ㄌㄚ-ㄐㄧ-ㄊㄨㄥˇ
🗑 ㄌㄜˋ-ㄙㄜˋ-ㄊㄨㄥˇ
🗓 ㄒㄧㄥˊ-ㄕˋ-ㄌㄧˋ
🗓 ㄖˋ-ㄌㄧˋ
🗓 ㄩㄝˋ-ㄌㄧˋ
🗝 ㄙㄨㄛˇ-ㄕ˙
🗝 ㄧㄠˋ-ㄕ˙
🗡 ㄅㄧˇ-ㄕㄡˇ
🤔 ㄙ
🤞 ㄅㄨˋ
🤠 ㄒㄧㄠˋ
🤤 ㄌㄟˋ
🤧 ㄅㄧㄥˋ
🤩 ㄒㄧㄠˋ
🤪 ㄒㄧㄠˋ
🤫 ㄒㄩ
🤬 ㄋㄨˋ
🤿 ㄑㄧㄢˊ-ㄕㄨㄟˇ
🥀 ㄇㄟˊ-ㄍㄨㄟ
🥀 ㄉㄧㄠ-ㄌㄧㄥˊ
🥀 ㄏㄨㄚ
🥂 ㄒㄧㄤ-ㄅㄧㄣ
🥃 ㄨㄟ-ㄕˋ-ㄐㄧˋ
🥄 ㄊㄤ-ㄔˊ
🥅 ㄑㄧㄡˊ-ㄇㄣˊ
🥊 ㄑㄩㄢˊ-ㄐㄧ
🥊 ㄑㄩㄢˊ-ㄐㄧˊ
🥎 ㄌㄟˇ-ㄑㄧㄡˊ
🥏 ㄈㄟ-ㄆㄢˊ
🥐 ㄋㄧㄡˊ-ㄐㄧㄠˇ-ㄇㄧㄢˋ-ㄅㄠ
🥑 ㄋㄧㄡˊ-ㄧㄡˊ-ㄍㄨㄛˇ
🥑 ㄌㄠˋ-ㄌㄧˊ
🥑 ㄌㄨㄛˋ-ㄌㄧˊ
🥒 ㄏㄨㄤˊ-ㄍㄨㄚ
🥓 ㄆㄟˊ-ㄍㄣ
🥔 ㄊㄨˇ-ㄉㄡˋ
🥔 ㄧㄤˊ-ㄩˋ
🥕 ㄏㄨˊ-ㄌㄨㄛˊ-ㄅㄛ˙
🥕 ㄏㄨㄥˊ-ㄌㄨㄛˊ-ㄅㄛ˙
🥗 ㄕㄚ-ㄌㄚ
🥙 ㄎㄡˇ-ㄉㄞˋ-ㄅㄧㄥˇ
🥚 ㄉㄢˋ
🥚 ㄐㄧ-ㄉㄢˋ
🥛 ㄋㄧㄡˊ-ㄋㄞˇ
🥜 ㄏㄨㄚ-ㄕㄥ
🥝 ㄇㄧˊ-ㄏㄡˊ-ㄊㄠˊ
🥝 ㄑㄧˊ-ㄧˋ-ㄍㄨㄛˇ
🥞 ㄙㄨㄥ-ㄅㄧㄥˇ
🥟 ㄐㄧㄠˇ-ㄗ˙
🥠 ㄒㄧㄥˋ-ㄩㄣˋ-ㄅㄧㄥˇ-ㄍㄢ
🥢 ㄎㄨㄞˋ
🥢 ㄎㄨㄞˋ-ㄗˇ
🥣 ㄨㄢˇ
🥤 ㄧㄣˇ-ㄌㄧㄠˋ
🥥 ㄧㄝ-ㄗ˙
🥥 ㄧㄝˊ-ㄗ˙
🥦 ㄒㄧ-ㄌㄢˊ-ㄏㄨㄚ
🥦 ㄘㄞˋ-ㄏㄨㄚ
🥩 ㄋㄧㄡˊ-ㄆㄞˊ
🥪 ㄙㄢ-ㄇㄧㄥˊ-ㄓˋ
🥪 ㄙㄢ-ㄨㄣˊ-ㄓˋ
🥫 ㄍㄨㄢˋ-ㄊㄡ˙
🥫 ㄍㄨㄢˋ-ㄊㄡˊ
🥬 ㄑㄧㄥ-ㄘㄞˋ
🥭 ㄇㄤˊ-ㄍㄨㄛˇ
🥮 ㄩㄝˋ-ㄅㄧㄥˇ
🥯 ㄅㄟˋ-ㄍㄨㄛˇ
🦀 ㄆㄤˊ-ㄒㄧㄝˋ
🦀 ㄉㄚˋ-ㄓㄚˊ-ㄒㄧㄝˋ
🦀 ㄒㄧㄝˋ
🦁 ㄕ
🦂 ㄒㄧㄝ-ㄗ˙
🦂 ㄔㄨㄥˊ
🦃 ㄏㄨㄛˇ-ㄐㄧ
🦄 ㄉㄨˊ-ㄐㄧㄠˇ-ㄕㄡˋ
🦅 ㄌㄠˇ-ㄧㄥ
🦅 ㄧㄥ
🦆 ㄧㄚ
🦇 ㄅㄧㄢ-ㄈㄨˊ
🦇 ㄅㄧㄢˇ-ㄈㄨˊ
🦈 ㄕㄚ-ㄩˊ
🦉 ㄇㄠ-ㄊㄡˊ-ㄧㄥ
🦊 ㄏㄨˊ-ㄌㄧˊ
🦋 ㄏㄨˊ-ㄉㄧㄝˊ
💩 ㄉㄚˋ-ㄅㄧㄢˋ
💩 ㄧ-ㄊㄨㄛ-ㄉㄚˊ-ㄅㄧㄢˋ
🦌 ㄌㄨˋ
🦍 ㄉㄚˋ-ㄒㄧㄥ-ㄒㄧㄥ
🦍 ㄒㄧㄥ-ㄒㄧㄥ
🦎 ㄒㄧ-ㄧˋ
🦏 ㄒㄧ-ㄋㄧㄡˊ
🦐 ㄒㄧㄚ
🦐 ㄒㄧㄚ-ㄆㄚˊ-ㄗ˙
🦐 ㄒㄧㄚ-ㄗ˙
🦑 ㄧㄡˊ-ㄩˊ
🦑 ㄨ-ㄗㄟˊ
🦒 ㄔㄤˊ-ㄐㄧㄥˇ-ㄌㄨˋ
🦓 ㄅㄢ-ㄇㄚˇ
🦔 ㄘˋ-ㄨㄟˋ
🦕 ㄎㄨㄥˇ-ㄌㄨㄥˊ
🦖 ㄅㄚˋ-ㄨㄤˊ-ㄌㄨㄥˊ
🦖 ㄅㄠˋ-ㄌㄨㄥˊ
🦖 ㄎㄨㄥˇ-ㄌㄨㄥˊ
🦗 ㄒㄧ-ㄕㄨㄞˋ
🦗 ㄔㄨㄥˊ
🦘 ㄉㄞˋ-ㄕㄨˇ
🦙 ㄘㄠˇ-ㄋㄧˊ-ㄇㄚˇ
🦙 ㄧㄤˊ-ㄊㄨㄛˊ
🦚 ㄎㄨㄥˇ-ㄑㄩㄝˋ
🦛 ㄏㄜˊ-ㄇㄚˇ
🦜 ㄧㄥ-ㄨˇ
🦝 ㄏㄨㄢˋ-ㄒㄩㄥˊ
🦝 ㄨㄢˇ-ㄒㄩㄥˊ
🦞 ㄌㄨㄥˊ-ㄒㄧㄚ
🦟 ㄔㄨㄥˊ
🦟 ㄨㄣˊ-ㄗ˙
🦠 ㄅㄧㄥˋ-ㄉㄨˊ
🦡 ㄏㄨㄢ
🦢 ㄊㄧㄢ-ㄜˊ
🦥 ㄕㄨˋ-ㄌㄢˇ
🦦 ㄕㄨㄟˇ-ㄊㄚˋ
🦧 ㄒㄧㄥ-ㄒㄧㄥ
🦨 ㄔㄡˋ-ㄧㄡˋ
🦩 ㄏㄨㄛˇ-ㄌㄧㄝˋ-ㄋㄧㄠˇ
🦩 ㄏㄨㄥˊ-ㄏㄜˋ
🦪 ㄇㄨˇ-ㄌㄧˋ
🦪 ㄎㄜ-ㄗㄞˇ
🦪 ㄜˊ-ㄗˇ
🦪 ㄜˊ-ㄗㄞˇ
🦫 ㄏㄞˇ-ㄌㄧˊ
🦭 ㄏㄞˇ-ㄅㄠˋ
🦮 ㄉㄠˇ-ㄇㄤˊ-ㄑㄩㄢˇ
🦮 ㄍㄡˇ
🦴 ㄍㄨˇ-ㄊㄡˊ
🧀 ㄖㄨˇ-ㄌㄠˋ
🧀 ㄖㄨˇ-ㄌㄨㄛˋ
🧁 ㄉㄢˋ-ㄍㄠ
🧂 ㄧㄢˊ
🧃 ㄍㄨㄛˇ-ㄓ
🧄 ㄉㄚˋ-ㄙㄨㄢˋ
🧄 ㄙㄨㄢˋ
🧅 ㄧㄤˊ-ㄘㄨㄥ
🧇 ㄍㄜˊ-ㄗ˙-ㄅㄧㄥˇ
🧇 ㄏㄨㄚˊ-ㄈㄨ-ㄅㄧㄥˇ
🧈 ㄋㄞˇ-ㄧㄡˊ
🧈 ㄏㄨㄤˊ-ㄧㄡˊ
🧊 ㄅㄧㄥ-ㄎㄨㄞˋ
🧋 ㄓㄣ-ㄋㄞˇ
🧋 ㄓㄣ-ㄓㄨ-ㄋㄞˇ-ㄔㄚˊ
🧎 ㄍㄨㄟˋ
🧎‍♀️ ㄍㄨㄟˋ
🧎‍♂️ ㄍㄨㄟˋ
🧥 ㄨㄞˋ-ㄊㄠˋ
🧨 ㄅㄠˋ-ㄓㄨˊ
🧨 ㄅㄧㄢ-ㄆㄠˋ
🧨 ㄓㄚˋ-ㄧㄠˋ
🧪 ㄕˋ-ㄍㄨㄢˇ
🧭 ㄓˇ-ㄅㄟˇ-ㄓㄣ
🧭 ㄓˇ-ㄋㄢˊ-ㄓㄣ
🧮 ㄙㄨㄢˋ-ㄆㄢˊ
🧯 ㄇㄧㄝˋ-ㄏㄨㄛˇ-ㄑㄧˋ
🧰 ㄍㄨㄥ-ㄐㄩˋ-ㄒㄧㄤ
🧱 ㄓㄨㄢ-ㄎㄨㄞˋ
🧲 ㄘˊ-ㄊㄧㄝˇ
🧴 ㄇㄨˋ-ㄩˋ-ㄌㄨˋ
🧴 ㄇㄨˋ-ㄩˋ-ㄖㄨˇ
🧴 ㄒㄧˇ-ㄈㄚˇ-ㄌㄨˋ
🧴 ㄒㄧˇ-ㄈㄚˇ-ㄐㄧㄥ
🧴 ㄒㄧˇ-ㄈㄚˇ-ㄕㄨㄟˇ
🧴 ㄒㄧˇ-ㄈㄚˇ-ㄖㄨˇ
🧴 ㄒㄧˇ-ㄈㄚˇ-ㄧˋ
🧴 ㄒㄧˇ-ㄈㄚˇ-ㄧㄝˋ
🧴 ㄒㄧˇ-ㄈㄚˋ-ㄌㄨˋ
🧴 ㄒㄧˇ-ㄈㄚˋ-ㄐㄧㄥ
🧴 ㄒㄧˇ-ㄈㄚˋ-ㄕㄨㄟˇ
🧴 ㄒㄧˇ-ㄈㄚˋ-ㄖㄨˇ
🧴 ㄒㄧˇ-ㄈㄚˋ-ㄧˋ
🧴 ㄒㄧˇ-ㄈㄚˋ-ㄧㄝˋ
🧵 ㄒㄧㄢˋ
🧷 ㄑㄩ-ㄅㄧㄝˊ-ㄓㄣ
🧹 ㄙㄠˋ-ㄅㄚˇ
🧹 ㄙㄠˋ-ㄓㄡˇ
🧺 ㄌㄢˊ-ㄗ˙
🧻 ㄨㄟˋ-ㄕㄥ-ㄓˇ
🧼 ㄈㄟˊ-ㄗㄠˋ
🧽 ㄏㄞˇ-ㄇㄧㄢˊ
🩸 ㄒㄧㄝˇ
🩸 ㄒㄩㄝˋ
🪁 ㄈㄥ-ㄓㄥ
🪂 ㄊㄧㄠˋ-ㄙㄢˇ
🪂 ㄐㄧㄤˋ-ㄌㄨㄛˋ-ㄙㄢˇ
🪃 ㄏㄨㄟˊ-ㄌㄧˋ-ㄅㄧㄠ
🪃 ㄏㄨㄟˊ-ㄒㄩㄢˊ-ㄅㄧㄠ
🪑 ㄧˇ-ㄗ˙
🪒 ㄍㄨㄚ-ㄏㄨˊ-ㄉㄠ
🪓 ㄈㄨˇ
🪓 ㄈㄨˇ-ㄊㄡˊ
🪔 ㄧㄡˊ-ㄉㄥ
🪙 ㄑㄧㄢˊ
🪙 ㄧㄥˋ-ㄅㄧˋ
🪚 ㄐㄩˋ-ㄗ˙
🪛 ㄌㄨㄛˊ-ㄙ-ㄉㄠ
🪛 ㄑㄧˇ-ㄗ˙
🪟 ㄔㄨㄤ
🪡 ㄓㄣ
🪣 ㄕㄨㄟˇ-ㄊㄨㄥˇ
🪥 ㄧㄚˊ-ㄕㄨㄚ
🪦 ㄇㄨˋ-ㄅㄟ
