#==================================
# 威注音漢字音韻庫格式（簡繁體共用），全文除了符號用字與注音以外必須是半形英數。
# -------------------
# 格式順序是：字符＆頻次＆對應注音＆對應漢語拼音＆對應大千鍵序。
# 編碼統一使用 UTF8 萬國碼；注音的轻声记号一律写在右侧。
# 每一行的每一項之間必須用單個英數半形空格來隔開，行尾不要留空格。
# 漢語拼音可藉由其他腳本從注音換算，但注音一定要標注正確。
# 換算時請使用 LibreOffice，因為 Excel 會把 jun1 這樣的數字永久轉換成日期、導致數據損毀。
# 漢語拼音的音調必須是數字，「12345」分別對應「一二三四輕」這五種聲調。
# 注釋必須在單獨的行內、且由西文井號字符開行頭。
# ------------------
# 非漢字符號專用音韻庫，包括鴨蛋零（因為 100% 會被 Excel 與 LibreOffice 強行轉換成西文零）。
# =================================

ホ 0 ㄏㄛ ho1 ci
ボ 0 ㄅㄛ bo1 1i
ポ 0 ㄆㄛ po1 qi
マ 0 ㄇㄚ ma1 a8
ミ 0 ㄇㄧ mi1 au
ム 0 ㄇㄨ mu1 aj
メ 0 ㄇㄝ meh1 a,
モ 0 ㄇㄛ mo1 ai
ャ 0 ㄧㄚ ya1 u8
ヤ 0 ㄧㄚ ya1 u8
ュ 0 ㄩ yu1 m
ユ 0 ㄩ yu1 m
ョ 0 ㄧㄛ yo1 ui
ヨ 0 ㄧㄛ yo1 ui
ラ 0 ㄌㄚ la1 x8
リ 0 ㄌㄧ li1 xu
ル 0 ㄌㄨ lu1 xj
レ 0 ㄌㄝ leh1 x,
ロ 0 ㄌㄛ lo1 xi
ヮ 0 ㄨㄚ wa1 j8
ワ 0 ㄨㄚ wa1 j8
ヰ 0 ㄨㄟ wei1 jo
ヱ 0 ㄨㄟ wei1 jo
ヲ 0 ㄨㄛ wo1 ji
ン 0 ㄣ en1 p
ヴ 0 ㄨ wu1 j
ヵ 0 ㄎㄚ ka1 d8
ヶ 0 ㄎㄝ keh1 d,
