ㄅㄚ	bā	ba1
ㄏㄨㄚ	huā	hua1
ㄏㄨㄚˊ	huá	hua2
ㄏㄨㄚˇ	huǎ	hua3
ㄏㄨㄚˋ	huà	hua4
ㄏㄨㄛ	huō	huo1
ㄏㄨㄛˊ	huó	huo2
ㄏㄨㄛˇ	huǒ	huo3
ㄏㄨㄛˋ	huò	huo4
ㄏㄨㄛ˙	huo	huo5
ㄏㄨㄞˊ	huái	huai2
ㄏㄨㄞˋ	huài	huai4
ㄏㄨㄟ	huī	hui1
ㄏㄨㄟˊ	huí	hui2
ㄏㄨㄟˇ	huǐ	hui3
ㄏㄨㄟˋ	huì	hui4
ㄏㄨㄢ	huān	huan1
ㄏㄨㄢˊ	huán	huan2
ㄏㄨㄢˇ	huǎn	huan3
ㄏㄨㄢˋ	huàn	huan4
ㄏㄨㄣ	hūn	hun1
ㄏㄨㄣˊ	hún	hun2
ㄏㄨㄣˇ	hǔn	hun3
ㄏㄨㄣˋ	hùn	hun4
ㄏㄨㄤ	huāng	huang1
ㄏㄨㄤˊ	huáng	huang2
ㄏㄨㄤˇ	huǎng	huang3
ㄏㄨㄤˋ	huàng	huang4
ㄏㄨㄤ˙	huang	huang5
ㄏㄨㄥ	hōng	hong1
ㄏㄨㄥˊ	hóng	hong2
ㄏㄨㄥˇ	hǒng	hong3
ㄏㄨㄥˋ	hòng	hong4
ㄐㄧ	jī	ji1
ㄐㄧˊ	jí	ji2
ㄐㄧˇ	jǐ	ji3
ㄐㄧˋ	jì	ji4
ㄐㄧㄚ	jiā	jia1
ㄐㄧㄚˊ	jiá	jia2
ㄐㄧㄚˇ	jiǎ	jia3
ㄐㄧㄚˋ	jià	jia4
ㄐㄧㄝ	jiē	jie1
ㄐㄧㄝˊ	jié	jie2
ㄐㄧㄝˇ	jiě	jie3
ㄐㄧㄝˋ	jiè	jie4
ㄐㄧㄝ˙	jie	jie5
ㄐㄧㄠ	jiāo	jiao1
ㄐㄧㄠˊ	jiáo	jiao2
ㄐㄧㄠˇ	jiǎo	jiao3
ㄐㄧㄠˋ	jiào	jiao4
ㄐㄧㄡ	jiū	jiu1
ㄐㄧㄡˇ	jiǔ	jiu3
ㄐㄧㄡˋ	jiù	jiu4
ㄐㄧㄢ	jiān	jian1
ㄐㄧㄢˇ	jiǎn	jian3
ㄐㄧㄢˋ	jiàn	jian4
ㄐㄧㄣ	jīn	jin1
ㄐㄧㄣˇ	jǐn	jin3
ㄐㄧㄣˋ	jìn	jin4
ㄐㄧㄤ	jiāng	jiang1
ㄐㄧㄤˊ	jiáng	jiang2
ㄐㄧㄤˇ	jiǎng	jiang3
ㄐㄧㄤˋ	jiàng	jiang4
ㄐㄧㄥ	jīng	jing1
ㄐㄧㄥˇ	jǐng	jing3
ㄐㄧㄥˋ	jìng	jing4
ㄐㄩ	jū	ju1
ㄐㄩˊ	jú	ju2
ㄐㄩˇ	jǔ	ju3
ㄐㄩˋ	jù	ju4
ㄐㄩㄝ	juē	jue1
ㄐㄩㄝˊ	jué	jue2
ㄐㄩㄝˇ	juě	jue3
ㄐㄩㄝˋ	juè	jue4
ㄐㄩㄢ	juān	juan1
ㄐㄩㄢˇ	juǎn	juan3
ㄐㄩㄢˋ	juàn	juan4
ㄐㄩㄣ	jūn	jun1
ㄐㄩㄣˊ	jún	2-Jun1
ㄐㄩㄣˇ	jǔn	3-Jun1
ㄐㄩㄣˋ	jùn	4-Jun1
ㄐㄩㄥ	jiōng	jiong1
ㄐㄩㄥˇ	jiǒng	jiong3
ㄐㄩㄥˋ	jiòng	jiong4
ㄑ˙	q	q5
ㄑㄧ	qī	qi1
ㄑㄧˊ	qí	qi2
ㄑㄧˇ	qǐ	qi3
ㄑㄧˋ	qì	qi4
ㄑㄧㄚ	qiā	qia1
ㄑㄧㄚˊ	qiá	qia2
ㄑㄧㄚˇ	qiǎ	qia3
ㄑㄧㄚˋ	qià	qia4
ㄑㄧㄝ	qiē	qie1
ㄑㄧㄝˊ	qié	qie2
ㄑㄧㄝˇ	qiě	qie3
ㄑㄧㄝˋ	qiè	qie4
ㄑㄧㄠ	qiāo	qiao1
ㄑㄧㄠˊ	qiáo	qiao2
ㄑㄧㄠˇ	qiǎo	qiao3
ㄑㄧㄠˋ	qiào	qiao4
ㄑㄧㄡ	qiū	qiu1
ㄑㄧㄡˊ	qiú	qiu2
ㄑㄧㄡˇ	qiǔ	qiu3
ㄑㄧㄡˋ	qiù	qiu4
ㄑㄧㄢ	qiān	qian1
ㄑㄧㄢˊ	qián	qian2
ㄑㄧㄢˇ	qiǎn	qian3
ㄑㄧㄢˋ	qiàn	qian4
ㄑㄧㄣ	qīn	qin1
ㄑㄧㄣˊ	qín	qin2
ㄑㄧㄣˇ	qǐn	qin3
ㄑㄧㄣˋ	qìn	qin4
ㄑㄧㄤ	qiāng	qiang1
ㄑㄧㄤˊ	qiáng	qiang2
ㄑㄧㄤˇ	qiǎng	qiang3
ㄑㄧㄤˋ	qiàng	qiang4
ㄑㄧㄥ	qīng	qing1
ㄑㄧㄥˊ	qíng	qing2
ㄑㄧㄥˇ	qǐng	qing3
ㄑㄧㄥˋ	qìng	qing4
ㄑㄩ	qū	qu1
ㄑㄩˊ	qú	qu2
ㄑㄩˇ	qǔ	qu3
ㄑㄩˋ	qù	qu4
ㄑㄩㄝ	quē	que1
ㄑㄩㄝˊ	qué	que2
ㄑㄩㄝˋ	què	que4
ㄑㄩㄢ	quān	quan1
ㄑㄩㄢˊ	quán	quan2
ㄑㄩㄢˇ	quǎn	quan3
ㄑㄩㄢˋ	quàn	quan4
ㄑㄩㄣ	qūn	qun1
ㄑㄩㄣˊ	qún	qun2
ㄑㄩㄣˇ	qǔn	qun3
ㄑㄩㄣˋ	qùn	qun4
ㄑㄩㄥ	qiōng	qiong1
ㄑㄩㄥˊ	qióng	qiong2
ㄑㄩㄥˇ	qiǒng	qiong3
ㄑㄩㄥˋ	qiòng	qiong4
ㄒㄧ	xī	xi1
ㄒㄧˊ	xí	xi2
ㄒㄧˇ	xǐ	xi3
ㄒㄧˋ	xì	xi4
ㄒㄧㄚ	xiā	xia1
ㄒㄧㄚˊ	xiá	xia2
ㄒㄧㄚˇ	xiǎ	xia3
ㄒㄧㄚˋ	xià	xia4
ㄒㄧㄝ	xiē	xie1
ㄒㄧㄝˊ	xié	xie2
ㄒㄧㄝˇ	xiě	xie3
ㄒㄧㄝˋ	xiè	xie4
ㄒㄧㄠ	xiāo	xiao1
ㄒㄧㄠˊ	xiáo	xiao2
ㄒㄧㄠˇ	xiǎo	xiao3
ㄒㄧㄠˋ	xiào	xiao4
ㄒㄧㄡ	xiū	xiu1
ㄒㄧㄡˊ	xiú	xiu2
ㄒㄧㄡˇ	xiǔ	xiu3
ㄒㄧㄡˋ	xiù	xiu4
ㄒㄧㄢ	xiān	xian1
ㄒㄧㄢˊ	xián	xian2
ㄒㄧㄢˇ	xiǎn	xian3
ㄒㄧㄢˋ	xiàn	xian4
ㄒㄧㄣ	xīn	xin1
ㄒㄧㄣˊ	xín	xin2
ㄒㄧㄣˇ	xǐn	xin3
ㄒㄧㄣˋ	xìn	xin4
ㄒㄧㄤ	xiāng	xiang1
ㄒㄧㄤˊ	xiáng	xiang2
ㄒㄧㄤˇ	xiǎng	xiang3
ㄒㄧㄤˋ	xiàng	xiang4
ㄒㄧㄥ	xīng	xing1
ㄒㄧㄥˊ	xíng	xing2
ㄒㄧㄥˇ	xǐng	xing3
ㄒㄧㄥˋ	xìng	xing4
ㄒㄩ	xū	xu1
ㄒㄩˊ	xú	xu2
ㄒㄩˇ	xǔ	xu3
ㄒㄩˋ	xù	xu4
ㄒㄩㄝ	xuē	xue1
ㄒㄩㄝˊ	xué	xue2
ㄒㄩㄝˇ	xuě	xue3
ㄒㄩㄝˋ	xuè	xue4
ㄒㄩㄢ	xuān	xuan1
ㄒㄩㄢˊ	xuán	xuan2
ㄒㄩㄢˇ	xuǎn	xuan3
ㄒㄩㄢˋ	xuàn	xuan4
ㄒㄩㄣ	xūn	xun1
ㄒㄩㄣˊ	xún	xun2
ㄒㄩㄣˋ	xùn	xun4
ㄒㄩㄥ	xiōng	xiong1
ㄒㄩㄥˊ	xióng	xiong2
ㄒㄩㄥˇ	xiǒng	xiong3
ㄒㄩㄥˋ	xiòng	xiong4
ㄓ	zhī	zhi1
ㄓˊ	zhí	zhi2
ㄓˇ	zhǐ	zhi3
ㄓˋ	zhì	zhi4
ㄓㄚ	zhā	zha1
ㄓㄚˊ	zhá	zha2
ㄓㄚˇ	zhǎ	zha3
ㄓㄚˋ	zhà	zha4
ㄓㄜ	zhē	zhe1
ㄓㄜˊ	zhé	zhe2
ㄓㄜˇ	zhě	zhe3
ㄓㄜˋ	zhè	zhe4
ㄓㄜ˙	zhe	zhe5
ㄓㄞ	zhāi	zhai1
ㄓㄞˊ	zhái	zhai2
ㄓㄞˇ	zhǎi	zhai3
ㄓㄞˋ	zhài	zhai4
ㄓㄟˋ	zhèi	zhei4
ㄓㄠ	zhāo	zhao1
ㄓㄠˊ	zháo	zhao2
ㄓㄠˇ	zhǎo	zhao3
ㄓㄠˋ	zhào	zhao4
ㄓㄡ	zhōu	zhou1
ㄓㄡˊ	zhóu	zhou2
ㄓㄡˇ	zhǒu	zhou3
ㄓㄡˋ	zhòu	zhou4
ㄓㄢ	zhān	zhan1
ㄓㄢˇ	zhǎn	zhan3
ㄓㄢˋ	zhàn	zhan4
ㄓㄣ	zhēn	zhen1
ㄓㄣˊ	zhén	zhen2
ㄓㄣˇ	zhěn	zhen3
ㄓㄣˋ	zhèn	zhen4
ㄓㄤ	zhāng	zhang1
ㄓㄤˇ	zhǎng	zhang3
ㄓㄤˋ	zhàng	zhang4
ㄓㄥ	zhēng	zheng1
ㄓㄥˇ	zhěng	zheng3
ㄓㄥˋ	zhèng	zheng4
ㄓㄨ	zhū	zhu1
ㄓㄨˊ	zhú	zhu2
ㄓㄨˇ	zhǔ	zhu3
ㄓㄨˋ	zhù	zhu4
ㄓㄨㄚ	zhuā	zhua1
ㄓㄨㄚˇ	zhuǎ	zhua3
ㄓㄨㄛ	zhuō	zhuo1
ㄓㄨㄛˊ	zhuó	zhuo2
ㄓㄨㄛˋ	zhuò	zhuo4
ㄓㄨㄞ	zhuāi	zhuai1
ㄓㄨㄞˇ	zhuǎi	zhuai3
ㄓㄨㄞˋ	zhuài	zhuai4
ㄓㄨㄟ	zhuī	zhui1
ㄓㄨㄟˇ	zhuǐ	zhui3
ㄓㄨㄟˋ	zhuì	zhui4
ㄓㄨㄢ	zhuān	zhuan1
ㄓㄨㄢˇ	zhuǎn	zhuan3
ㄓㄨㄢˋ	zhuàn	zhuan4
ㄓㄨㄣ	zhūn	zhun1
ㄓㄨㄣˇ	zhǔn	zhun3
ㄓㄨㄣˋ	zhùn	zhun4
ㄓㄨㄤ	zhuāng	zhuang1
ㄓㄨㄤˇ	zhuǎng	zhuang3
ㄓㄨㄤˋ	zhuàng	zhuang4
ㄓㄨㄥ	zhōng	zhong1
ㄓㄨㄥˇ	zhǒng	zhong3
ㄓㄨㄥˋ	zhòng	zhong4
ㄔ	chī	chi1
ㄔˊ	chí	chi2
ㄔˇ	chǐ	chi3
ㄔˋ	chì	chi4
ㄔㄚ	chā	cha1
ㄔㄚˊ	chá	cha2
ㄔㄚˇ	chǎ	cha3
ㄔㄚˋ	chà	cha4
ㄔㄜ	chē	che1
ㄔㄜˇ	chě	che3
ㄔㄜˋ	chè	che4
ㄔㄞ	chāi	chai1
ㄔㄞˊ	chái	chai2
ㄔㄞˇ	chǎi	chai3
ㄔㄞˋ	chài	chai4
ㄔㄠ	chāo	chao1
ㄔㄠˊ	cháo	chao2
ㄔㄠˇ	chǎo	chao3
ㄔㄠˋ	chào	chao4
ㄔㄡ	chōu	chou1
ㄔㄡˊ	chóu	chou2
ㄔㄡˇ	chǒu	chou3
ㄔㄡˋ	chòu	chou4
ㄔㄢ	chān	chan1
ㄔㄢˊ	chán	chan2
ㄔㄢˇ	chǎn	chan3
ㄔㄢˋ	chàn	chan4
ㄔㄣ	chēn	chen1
ㄔㄣˊ	chén	chen2
ㄔㄣˇ	chěn	chen3
ㄔㄣˋ	chèn	chen4
ㄔㄣ˙	chen	chen5
ㄔㄤ	chāng	chang1
ㄔㄤˊ	cháng	chang2
ㄔㄤˇ	chǎng	chang3
ㄔㄤˋ	chàng	chang4
ㄔㄥ	chēng	cheng1
ㄔㄥˊ	chéng	cheng2
ㄔㄥˇ	chěng	cheng3
ㄔㄥˋ	chèng	cheng4
ㄔㄨ	chū	chu1
ㄔㄨˊ	chú	chu2
ㄔㄨˇ	chǔ	chu3
ㄔㄨˋ	chù	chu4
ㄔㄨㄚ	chuā	chua1
ㄔㄨㄚˇ	chuǎ	chua3
ㄔㄨㄚˋ	chuà	chua4
ㄔㄨㄛ	chuō	chuo1
ㄔㄨㄛˋ	chuò	chuo4
ㄔㄨㄞ	chuāi	chuai1
ㄔㄨㄞˊ	chuái	chuai2
ㄔㄨㄞˇ	chuǎi	chuai3
ㄔㄨㄞˋ	chuài	chuai4
ㄔㄨㄟ	chuī	chui1
ㄔㄨㄟˊ	chuí	chui2
ㄔㄨㄟˇ	chuǐ	chui3
ㄔㄨㄟˋ	chuì	chui4
ㄔㄨㄢ	chuān	chuan1
ㄔㄨㄢˊ	chuán	chuan2
ㄔㄨㄢˇ	chuǎn	chuan3
ㄔㄨㄢˋ	chuàn	chuan4
ㄔㄨㄣ	chūn	chun1
ㄔㄨㄣˊ	chún	chun2
ㄔㄨㄣˇ	chǔn	chun3
ㄔㄨㄤ	chuāng	chuang1
ㄔㄨㄤˊ	chuáng	chuang2
ㄔㄨㄤˇ	chuǎng	chuang3
ㄔㄨㄤˋ	chuàng	chuang4
ㄔㄨㄥ	chōng	chong1
ㄔㄨㄥˊ	chóng	chong2
ㄔㄨㄥˇ	chǒng	chong3
ㄔㄨㄥˋ	chòng	chong4
ㄕ	shī	shi1
ㄕˊ	shí	shi2
ㄕˇ	shǐ	shi3
ㄕˋ	shì	shi4
ㄕ˙	shi	shi5
ㄕㄚ	shā	sha1
ㄕㄚˊ	shá	sha2
ㄕㄚˇ	shǎ	sha3
ㄕㄚˋ	shà	sha4
ㄕㄚ˙	sha	sha5
ㄕㄜ	shē	she1
ㄕㄜˊ	shé	she2
ㄕㄜˇ	shě	she3
ㄕㄜˋ	shè	she4
ㄕㄞ	shāi	shai1
ㄕㄞˇ	shǎi	shai3
ㄕㄞˋ	shài	shai4
ㄕㄟˊ	shéi	shei2
ㄕㄠ	shāo	shao1
ㄕㄠˊ	sháo	shao2
ㄕㄠˇ	shǎo	shao3
ㄕㄠˋ	shào	shao4
ㄕㄡ	shōu	shou1
ㄕㄡˊ	shóu	shou2
ㄕㄡˇ	shǒu	shou3
ㄕㄡˋ	shòu	shou4
ㄕㄢ	shān	shan1
ㄕㄢˊ	shán	shan2
ㄕㄢˇ	shǎn	shan3
ㄕㄢˋ	shàn	shan4
ㄕㄣ	shēn	shen1
ㄕㄣˊ	shén	shen2
ㄕㄣˇ	shěn	shen3
ㄕㄣˋ	shèn	shen4
ㄕㄤ	shāng	shang1
ㄕㄤˇ	shǎng	shang3
ㄕㄤˋ	shàng	shang4
ㄕㄤ˙	shang	shang5
ㄕㄥ	shēng	sheng1
ㄕㄥˊ	shéng	sheng2
ㄕㄥˇ	shěng	sheng3
ㄕㄥˋ	shèng	sheng4
ㄕㄨ	shū	shu1
ㄕㄨˊ	shú	shu2
ㄕㄨˇ	shǔ	shu3
ㄕㄨˋ	shù	shu4
ㄕㄨㄚ	shuā	shua1
ㄕㄨㄚˇ	shuǎ	shua3
ㄕㄨㄚˋ	shuà	shua4
ㄕㄨㄛ	shuō	shuo1
ㄕㄨㄛˋ	shuò	shuo4
ㄕㄨㄞ	shuāi	shuai1
ㄕㄨㄞˇ	shuǎi	shuai3
ㄕㄨㄞˋ	shuài	shuai4
ㄕㄨㄟ	shuī	shui1
ㄕㄨㄟˊ	shuí	shui2
ㄕㄨㄟˇ	shuǐ	shui3
ㄕㄨㄟˋ	shuì	shui4
ㄕㄨㄢ	shuān	shuan1
ㄕㄨㄢˋ	shuàn	shuan4
ㄕㄨㄣˇ	shǔn	shun3
ㄕㄨㄣˋ	shùn	shun4
ㄕㄨㄤ	shuāng	shuang1
ㄕㄨㄤˊ	shuáng	shuang2
ㄕㄨㄤˇ	shuǎng	shuang3
ㄕㄨㄤˋ	shuàng	shuang4
ㄖˋ	rì	ri4
ㄖㄜˇ	rě	re3
ㄖㄜˋ	rè	re4
ㄖㄠˊ	ráo	rao2
ㄖㄠˇ	rǎo	rao3
ㄖㄠˋ	rào	rao4
ㄖㄡˊ	róu	rou2
ㄖㄡˇ	rǒu	rou3
ㄖㄡˋ	ròu	rou4
ㄖㄢˊ	rán	ran2
ㄖㄢˇ	rǎn	ran3
ㄖㄢˋ	ràn	ran4
ㄖㄣˊ	rén	ren2
ㄖㄣˇ	rěn	ren3
ㄖㄣˋ	rèn	ren4
ㄖㄤ	rāng	rang1
ㄖㄤˊ	ráng	rang2
ㄖㄤˇ	rǎng	rang3
ㄖㄤˋ	ràng	rang4
ㄖㄥ	rēng	reng1
ㄖㄥˊ	réng	reng2
ㄖㄥˇ	rěng	reng3
ㄖㄥˋ	rèng	reng4
ㄖㄨˊ	rú	ru2
ㄖㄨˇ	rǔ	ru3
ㄖㄨˋ	rù	ru4
ㄖㄨㄛˊ	ruó	ruo2
ㄖㄨㄛˋ	ruò	ruo4
ㄖㄨㄟˊ	ruí	rui2
ㄖㄨㄟˇ	ruǐ	rui3
ㄖㄨㄟˋ	ruì	rui4
ㄖㄨㄢˊ	ruán	ruan2
ㄖㄨㄢˇ	ruǎn	ruan3
ㄖㄨㄢˋ	ruàn	ruan4
ㄖㄨㄣˊ	rún	run2
ㄖㄨㄣˇ	rǔn	run3
ㄖㄨㄣˋ	rùn	run4
ㄖㄨㄥˊ	róng	rong2
ㄖㄨㄥˇ	rǒng	rong3
ㄖㄨㄥˋ	ròng	rong4
ㄗ	zī	zi1
ㄗˊ	zí	zi2
ㄗˇ	zǐ	zi3
ㄗˋ	zì	zi4
ㄗ˙	zi	zi5
ㄗㄚ	zā	za1
ㄗㄚˊ	zá	za2
ㄗㄚˇ	zǎ	za3
ㄗㄜˊ	zé	ze2
ㄗㄜˇ	zě	ze3
ㄗㄜˋ	zè	ze4
ㄗㄞ	zāi	zai1
ㄗㄞˇ	zǎi	zai3
ㄗㄞˋ	zài	zai4
ㄗㄟˊ	zéi	zei2
ㄗㄠ	zāo	zao1
ㄗㄠˊ	záo	zao2
ㄗㄠˇ	zǎo	zao3
ㄗㄠˋ	zào	zao4
ㄗㄡ	zōu	zou1
ㄗㄡˇ	zǒu	zou3
ㄗㄡˋ	zòu	zou4
ㄗㄢ	zān	zan1
ㄗㄢˊ	zán	zan2
ㄗㄢˇ	zǎn	zan3
ㄗㄢˋ	zàn	zan4
ㄗㄣ	zēn	zen1
ㄗㄣˇ	zěn	zen3
ㄗㄣˋ	zèn	zen4
ㄗㄤ	zāng	zang1
ㄗㄤˇ	zǎng	zang3
ㄗㄤˋ	zàng	zang4
ㄗㄥ	zēng	zeng1
ㄗㄥˇ	zěng	zeng3
ㄗㄥˋ	zèng	zeng4
ㄗㄨ	zū	zu1
ㄗㄨˊ	zú	zu2
ㄗㄨˇ	zǔ	zu3
ㄗㄨˋ	zù	zu4
ㄗㄨㄛ	zuō	zuo1
ㄗㄨㄛˊ	zuó	zuo2
ㄗㄨㄛˇ	zuǒ	zuo3
ㄗㄨㄛˋ	zuò	zuo4
ㄗㄨㄛ˙	zuo	zuo5
ㄗㄨㄟ	zuī	zui1
ㄗㄨㄟˇ	zuǐ	zui3
ㄗㄨㄟˋ	zuì	zui4
ㄗㄨㄢ	zuān	zuan1
ㄗㄨㄢˇ	zuǎn	zuan3
ㄗㄨㄢˋ	zuàn	zuan4
ㄗㄨㄣ	zūn	zun1
ㄗㄨㄣˇ	zǔn	zun3
ㄗㄨㄣˋ	zùn	zun4
ㄗㄨㄥ	zōng	zong1
ㄗㄨㄥˇ	zǒng	zong3
ㄗㄨㄥˋ	zòng	zong4
ㄘ	cī	ci1
ㄘˊ	cí	ci2
ㄘˇ	cǐ	ci3
ㄘˋ	cì	ci4
ㄘㄚ	cā	ca1
ㄘㄚˇ	cǎ	ca3
ㄘㄚˋ	cà	ca4
ㄘㄜˋ	cè	ce4
ㄘㄞ	cāi	cai1
ㄘㄞˊ	cái	cai2
ㄘㄞˇ	cǎi	cai3
ㄘㄞˋ	cài	cai4
ㄘㄠ	cāo	cao1
ㄘㄠˊ	cáo	cao2
ㄘㄠˇ	cǎo	cao3
ㄘㄠˋ	cào	cao4
ㄘㄡ	cōu	cou1
ㄘㄡˊ	cóu	cou2
ㄘㄡˇ	cǒu	cou3
ㄘㄡˋ	còu	cou4
ㄘㄢ	cān	can1
ㄘㄢˊ	cán	can2
ㄘㄢˇ	cǎn	can3
ㄘㄢˋ	càn	can4
ㄘㄣ	cēn	cen1
ㄘㄣˊ	cén	cen2
ㄘㄤ	cāng	cang1
ㄘㄤˊ	cáng	cang2
ㄘㄤˇ	cǎng	cang3
ㄘㄤˋ	càng	cang4
ㄘㄥ	cēng	ceng1
ㄘㄥˊ	céng	ceng2
ㄘㄥˇ	cěng	ceng3
ㄘㄥˋ	cèng	ceng4
ㄘㄨ	cū	cu1
ㄘㄨˊ	cú	cu2
ㄘㄨˇ	cǔ	cu3
ㄘㄨˋ	cù	cu4
ㄘㄨㄛ	cuō	cuo1
ㄘㄨㄛˊ	cuó	cuo2
ㄘㄨㄛˇ	cuǒ	cuo3
ㄘㄨㄛˋ	cuò	cuo4
ㄘㄨㄟ	cuī	cui1
ㄘㄨㄟˇ	cuǐ	cui3
ㄘㄨㄟˋ	cuì	cui4
ㄘㄨㄢ	cuān	cuan1
ㄘㄨㄢˊ	cuán	cuan2
ㄘㄨㄢˇ	cuǎn	cuan3
ㄘㄨㄢˋ	cuàn	cuan4
ㄘㄨㄣ	cūn	cun1
ㄘㄨㄣˊ	cún	cun2
ㄘㄨㄣˇ	cǔn	cun3
ㄘㄨㄣˋ	cùn	cun4
ㄘㄨㄥ	cōng	cong1
ㄘㄨㄥˊ	cóng	cong2
ㄘㄨㄥˇ	cǒng	cong3
ㄘㄨㄥˋ	còng	cong4
ㄙ	sī	si1
ㄙˇ	sǐ	si3
ㄙˋ	sì	si4
ㄙㄚ	sā	sa1
ㄙㄚˇ	sǎ	sa3
ㄙㄚˋ	sà	sa4
ㄙㄚ˙	sa	sa5
ㄙㄜ	sē	se1
ㄙㄜˋ	sè	se4
ㄙㄞ	sāi	sai1
ㄙㄞˊ	sái	sai2
ㄙㄞˇ	sǎi	sai3
ㄙㄞˋ	sài	sai4
ㄙㄟ	sēi	sei1
ㄙㄠ	sāo	sao1
ㄙㄠˇ	sǎo	sao3
ㄙㄠˋ	sào	sao4
ㄙㄡ	sōu	sou1
ㄙㄡˇ	sǒu	sou3
ㄙㄡˋ	sòu	sou4
ㄙㄢ	sān	san1
ㄙㄢˇ	sǎn	san3
ㄙㄢˋ	sàn	san4
ㄙㄣ	sēn	sen1
ㄙㄣˇ	sěn	sen3
ㄙㄤ	sāng	sang1
ㄙㄤˇ	sǎng	sang3
ㄙㄤˋ	sàng	sang4
ㄙㄥ	sēng	seng1
ㄙㄥˋ	sèng	seng4
ㄙㄨ	sū	su1
ㄙㄨˊ	sú	su2
ㄙㄨˇ	sǔ	su3
ㄙㄨˋ	sù	su4
ㄙㄨㄛ	suō	suo1
ㄙㄨㄛˊ	suó	suo2
ㄙㄨㄛˇ	suǒ	suo3
ㄙㄨㄛˋ	suò	suo4
ㄙㄨㄟ	suī	sui1
ㄙㄨㄟˊ	suí	sui2
ㄙㄨㄟˇ	suǐ	sui3
ㄙㄨㄟˋ	suì	sui4
ㄙㄨㄢ	suān	suan1
ㄙㄨㄢˇ	suǎn	suan3
ㄙㄨㄢˋ	suàn	suan4
ㄙㄨㄣ	sūn	sun1
ㄙㄨㄣˇ	sǔn	sun3
ㄙㄨㄣˋ	sùn	sun4
ㄙㄨㄥ	sōng	song1
ㄙㄨㄥˊ	sóng	song2
ㄙㄨㄥˇ	sǒng	song3
ㄙㄨㄥˋ	sòng	song4
ㄚ	ā	a1
ㄚˊ	á	a2
ㄚˇ	ǎ	a3
ㄚˋ	à	a4
ㄚ˙	a	a5
ㄛ	ō	o1
ㄛˊ	ó	o2
ㄛˇ	ǒ	o3
ㄜ	ē	e1
ㄜˊ	é	e2
ㄜˇ	ě	e3
ㄜˋ	è	e4
ㄝ	ê̄	eh1
ㄝˊ	ế	eh2
ㄝˇ	ê̌	eh3
ㄝˇ	êˇ	eh3
ㄝˋ	ề	eh4
ㄝ˙	ê	eh5
ㄞ	āi	ai1
ㄞˊ	ái	ai2
ㄞˇ	ǎi	ai3
ㄞˋ	ài	ai4
ㄟˋ	èi	ei4
ㄠ	āo	ao1
ㄠˊ	áo	ao2
ㄠˇ	ǎo	ao3
ㄠˋ	ào	ao4
ㄡ	ōu	ou1
ㄡˊ	óu	ou2
ㄡˇ	ǒu	ou3
ㄡˋ	òu	ou4
ㄡ˙	ou	ou5
ㄢ	ān	an1
ㄢˊ	án	an2
ㄢˇ	ǎn	an3
ㄢˋ	àn	an4
ㄣ	ēn	en1
ㄣˊ	én	en2
ㄣˇ	ěn	en3
ㄣˋ	èn	en4
ㄣ˙	en	en5
ㄤ	āng	ang1
ㄤˊ	áng	ang2
ㄤˇ	ǎng	ang3
ㄤˋ	àng	ang4
ㄥ	ēng	eng1
ㄥˋ	èng	eng4
ㄦ	ēr	er1
ㄦˊ	ér	er2
ㄦˇ	ěr	er3
ㄦˋ	èr	er4
ㄦ˙	er	er5
ㄧ	yī	yi1
ㄧˊ	yí	yi2
ㄧˇ	yǐ	yi3
ㄧˋ	yì	yi4
ㄧㄚ	yā	ya1
ㄧㄚˊ	yá	ya2
ㄧㄚˇ	yǎ	ya3
ㄧㄚˋ	yà	ya4
ㄧㄚ˙	ya	ya5
ㄧㄛ	yō	yo1
ㄧㄛ˙	yo	yo5
ㄧㄝ	yē	ye1
ㄧㄝˊ	yé	ye2
ㄧㄝˇ	yě	ye3
ㄧㄝˋ	yè	ye4
ㄧㄝ˙	ye	ye5
ㄧㄞˊ	yái	yai2
ㄧㄠ	yāo	yao1
ㄧㄠˊ	yáo	yao2
ㄧㄠˇ	yǎo	yao3
ㄧㄠˋ	yào	yao4
ㄧㄡ	yōu	you1
ㄧㄡˊ	yóu	you2
ㄧㄡˇ	yǒu	you3
ㄧㄡˋ	yòu	you4
ㄧㄢ	yān	yan1
ㄧㄢˊ	yán	yan2
ㄧㄢˇ	yǎn	yan3
ㄧㄢˋ	yàn	yan4
ㄧㄣ	yīn	yin1
ㄧㄣˊ	yín	yin2
ㄧㄣˇ	yǐn	yin3
ㄧㄣˋ	yìn	yin4
ㄧㄤ	yāng	yang1
ㄧㄤˊ	yáng	yang2
ㄧㄤˇ	yǎng	yang3
ㄧㄤˋ	yàng	yang4
ㄧㄥ	yīng	ying1
ㄧㄥˊ	yíng	ying2
ㄧㄥˇ	yǐng	ying3
ㄧㄥˋ	yìng	ying4
ㄨ	wū	wu1
ㄨˊ	wú	wu2
ㄨˇ	wǔ	wu3
ㄨˋ	wù	wu4
ㄨㄚ	wā	wa1
ㄨㄚˊ	wá	wa2
ㄨㄚˇ	wǎ	wa3
ㄨㄚˋ	wà	wa4
ㄨㄚ˙	wa	wa5
ㄨㄛ	wō	wo1
ㄨㄛˇ	wǒ	wo3
ㄨㄛˋ	wò	wo4
ㄨㄞ	wāi	wai1
ㄨㄞˇ	wǎi	wai3
ㄨㄞˋ	wài	wai4
