ㄅㄚ	bā	ba1
ㄇㄥˊ	méng	meng2
ㄇㄥˇ	měng	meng3
ㄇㄥˋ	mèng	meng4
ㄇㄧ	mī	mi1
ㄇㄧˊ	mí	mi2
ㄇㄧˇ	mǐ	mi3
ㄇㄧˋ	mì	mi4
ㄇㄧㄝ	miē	mie1
ㄇㄧㄝˊ	mié	mie2
ㄇㄧㄝˋ	miè	mie4
ㄇㄧㄠ	miāo	miao1
ㄇㄧㄠˊ	miáo	miao2
ㄇㄧㄠˇ	miǎo	miao3
ㄇㄧㄠˋ	miào	miao4
ㄇㄧㄡˊ	miú	miu2
ㄇㄧㄡˇ	miǔ	miu3
ㄇㄧㄡˋ	miù	miu4
ㄇㄧㄢ	miān	mian1
ㄇㄧㄢˊ	mián	mian2
ㄇㄧㄢˇ	miǎn	mian3
ㄇㄧㄢˋ	miàn	mian4
ㄇㄧㄣ	mīn	min1
ㄇㄧㄣˊ	mín	min2
ㄇㄧㄣˇ	mǐn	min3
ㄇㄧㄥˊ	míng	ming2
ㄇㄧㄥˇ	mǐng	ming3
ㄇㄧㄥˋ	mìng	ming4
ㄇㄨˊ	mú	mu2
ㄇㄨˇ	mǔ	mu3
ㄇㄨˋ	mù	mu4
ㄈㄚ	fā	fa1
ㄈㄚˊ	fá	fa2
ㄈㄚˇ	fǎ	fa3
ㄈㄚˋ	fà	fa4
ㄈㄛˊ	fó	fo2
ㄈㄟ	fēi	fei1
ㄈㄟˊ	féi	fei2
ㄈㄟˇ	fěi	fei3
ㄈㄟˋ	fèi	fei4
ㄈㄡ	fōu	fou1
ㄈㄡˊ	fóu	fou2
ㄈㄡˇ	fǒu	fou3
ㄈㄡˋ	fòu	fou4
ㄈㄢ	fān	fan1
ㄈㄢˊ	fán	fan2
ㄈㄢˇ	fǎn	fan3
ㄈㄢˋ	fàn	fan4
ㄈㄣ	fēn	fen1
ㄈㄣˊ	fén	fen2
ㄈㄣˇ	fěn	fen3
ㄈㄣˋ	fèn	fen4
ㄈㄣ˙	fen	fen5
ㄈㄤ	fāng	fang1
ㄈㄤˊ	fáng	fang2
ㄈㄤˇ	fǎng	fang3
ㄈㄤˋ	fàng	fang4
ㄈㄥ	fēng	feng1
ㄈㄥˊ	féng	feng2
ㄈㄥˇ	fěng	feng3
ㄈㄥˋ	fèng	feng4
ㄈㄧㄠˋ	fiào	fiao4
ㄈㄨ	fū	fu1
ㄈㄨˊ	fú	fu2
ㄈㄨˇ	fǔ	fu3
ㄈㄨˋ	fù	fu4
ㄉㄚ	dā	da1
ㄉㄚˊ	dá	da2
ㄉㄚˇ	dǎ	da3
ㄉㄚˋ	dà	da4
ㄉㄚ˙	da	da5
ㄉㄜ	dē	de1
ㄉㄜˊ	dé	de2
ㄉㄜ˙	de	de5
ㄉㄞ	dāi	dai1
ㄉㄞˇ	dǎi	dai3
ㄉㄞˋ	dài	dai4
ㄉㄟˇ	děi	dei3
ㄉㄠ	dāo	dao1
ㄉㄠˊ	dáo	dao2
ㄉㄠˇ	dǎo	dao3
ㄉㄠˋ	dào	dao4
ㄉㄡ	dōu	dou1
ㄉㄡˊ	dóu	dou2
ㄉㄡˇ	dǒu	dou3
ㄉㄡˋ	dòu	dou4
ㄉㄢ	dān	dan1
ㄉㄢˇ	dǎn	dan3
ㄉㄢˋ	dàn	dan4
ㄉㄣˋ	dèn	den4
ㄉㄤ	dāng	dang1
ㄉㄤˇ	dǎng	dang3
ㄉㄤˋ	dàng	dang4
ㄉㄥ	dēng	deng1
ㄉㄥˇ	děng	deng3
ㄉㄥˋ	dèng	deng4
ㄉㄧ	dī	di1
ㄉㄧˊ	dí	di2
ㄉㄧˇ	dǐ	di3
ㄉㄧˋ	dì	di4
ㄉㄧㄚˇ	diǎ	dia3
ㄉㄧㄝ	diē	die1
ㄉㄧㄝˊ	dié	die2
ㄉㄧㄝˇ	diě	die3
ㄉㄧㄝˋ	diè	die4
ㄉㄧㄠ	diāo	diao1
ㄉㄧㄠˇ	diǎo	diao3
ㄉㄧㄠˋ	diào	diao4
ㄉㄧㄡ	diū	diu1
ㄉㄧㄢ	diān	dian1
ㄉㄧㄢˊ	dián	dian2
ㄉㄧㄢˇ	diǎn	dian3
ㄉㄧㄢˋ	diàn	dian4
ㄉㄧㄥ	dīng	ding1
ㄉㄧㄥˊ	díng	ding2
ㄉㄧㄥˇ	dǐng	ding3
ㄉㄧㄥˋ	dìng	ding4
ㄉㄨ	dū	du1
ㄉㄨˊ	dú	du2
ㄉㄨˇ	dǔ	du3
ㄉㄨˋ	dù	du4
ㄉㄨㄛ	duō	duo1
ㄉㄨㄛˊ	duó	duo2
